spec,rank,score,validated,frag_cov
index=1279,5,455.88675974718507,False,0.37755102040816324
index=1280,1,551.2259887268563,True,0.29591836734693877
index=1280,2,535.7487409863076,False,0.3163265306122449
index=1280,3,533.431812996791,False,0.32653061224489793
index=1280,4,533.388966763792,False,0.30612244897959184
index=1280,5,528.335546528016,False,0.29591836734693877
index=1281,1,643.660373395313,True,0.42857142857142855
index=1281,2,642.9966392044407,False,0.42857142857142855
index=1281,3,597.9020833501332,False,0.3979591836734694
index=1281,4,597.276492403195,False,0.3979591836734694
index=1282,1,534.3319849910241,True,0.3877551020408163
index=1282,2,527.4882551659407,False,0.37755102040816324
index=1282,3,512.065600613551,False,0.40816326530612246
index=1282,4,511.4264955848462,False,0.3877551020408163
index=1282,5,503.5037809014866,False,0.37755102040816324
index=1283,1,318.3665276863075,True,0.24489795918367346
index=1283,2,318.27286748314395,False,0.25510204081632654
index=1283,3,317.9614060519376,False,0.24489795918367346
index=1283,4,317.8677465166897,False,0.25510204081632654
index=1283,5,297.031044181417,False,0.23469387755102042
index=1284,1,290.7023334415181,True,0.22448979591836735
index=1284,2,287.69238684999203,False,0.22448979591836735
index=1284,3,287.42398884781807,False,0.22448979591836735
index=1284,4,278.1436379668667,False,0.21428571428571427
index=1284,5,274.78211043383124,False,0.21428571428571427
index=1285,3,227.13305417493277,False,0.24489795918367346
index=1285,4,227.13305417493277,False,0.24489795918367346
index=1286,1,713.538877915421,True,0.5816326530612245
index=1286,2,619.1706768389986,False,0.5102040816326531
index=1286,3,595.9055349271689,False,0.4897959183673469
index=1286,4,594.4933698232437,False,0.5102040816326531
index=1286,5,582.5071407982132,False,0.47959183673469385
index=1287,1,521.8231205284372,True,0.45918367346938777
index=1287,2,498.61886079544,False,0.42857142857142855
index=1287,3,460.8083563540607,False,0.30612244897959184
index=1287,4,452.672020114391,False,0.3979591836734694
index=1287,5,421.4264116429643,False,0.3673469387755102
index=1288,1,408.38903862877737,True,0.32653061224489793
index=1288,2,408.38901566169955,False,0.2857142857142857
index=1288,3,408.38901566169955,False,0.2857142857142857
index=1288,5,385.94630053955507,False,0.2755102040816326
index=1289,1,244.42323778059597,True,0.23469387755102042
index=1289,2,202.69988740001511,False,0.21428571428571427
index=1289,3,200.93941729390968,False,0.21428571428571427
index=1289,4,192.5292782475775,False,0.20408163265306123
index=1290,1,492.77511430906264,True,0.37755102040816324
index=1290,2,469.3390038495159,False,0.3469387755102041
index=1290,3,469.32392490047937,True,0.3673469387755102
index=1290,4,459.9012478134712,False,0.336734693877551
index=1290,5,446.08758893794163,False,0.336734693877551
index=1292,1,368.78486171175655,True,0.2653061224489796
index=1292,2,345.39218281009425,False,0.25510204081632654
index=1292,3,334.43382850035186,False,0.2755102040816326
index=1292,4,332.84006672305395,False,0.2857142857142857
index=1292,5,329.3618066872636,False,0.2653061224489796
index=1293,1,461.01572905793836,True,0.336734693877551
index=1293,2,437.9364655693089,False,0.2755102040816326
index=1293,3,437.9364655693089,False,0.2857142857142857
index=1294,1,655.0921290335511,True,0.5612244897959183
index=1294,2,608.8903995844713,False,0.5
index=1294,3,562.0692469059594,False,0.5102040816326531
index=1294,4,540.7099663018125,False,0.4489795918367347
index=1294,5,540.3277206010798,False,0.46938775510204084
